Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;2;30-Mar-23;11:01:34 AM;9709087666666660,00;20546133333333300,00;Apr 15, 2023, 10:53:15 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;30-Mar-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;;3ab50e4ad130470d9b8dab3855642a37
Patrol;4;29-Mar-23;10:38:38 PM;9709034833333330,00;20556616666666600,00;Apr 15, 2023, 10:52:55 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;29-Mar-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;;e24226646d7842899ebe9d88feec7f5e
Patrol;3;29-Mar-23;10:31:28 PM;9708963833333330,00;20563983333333300,00;Apr 15, 2023, 10:52:55 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;110.0;99.0;;;29-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;2a591f26139c45b998af9d2cc20b26af
Patrol;2;29-Mar-23;10:28:05 PM;9708924333333330,00;2056725,00;Apr 15, 2023, 10:52:55 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;88.0;75.0;;;29-Mar-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;;5508dc089f8345fc8ac433ac35b87470
Patrol;8;29-Mar-23;9:25:56 AM;9709111833333330,00;205402,00;Apr 15, 2023, 10:52:51 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;29-Mar-23;;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;;;CM: Green turtle;;;;dfada3bdcc31490b84f96cfd81627936
Patrol;7;29-Mar-23;9:22:51 AM;9709081833333330,00;20544116666666600,00;Apr 15, 2023, 10:52:51 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;29-Mar-23;;;101.0;;D: dune sand (area on top of dune);BE: between low and high tide;;;;;;CM: Green turtle;;;22.0;15b9d403e7584310a4635e7016bf92fa
Patrol;6;29-Mar-23;9:15:57 AM;9709048166666660,00;20550100000000000,00;Apr 15, 2023, 10:52:51 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;29-Mar-23;;;;;B: beach (between high tide and slope);BE: between low and high tide;;;;;;CM: Green turtle;;;;4a690782e85349d4a9813e6719f29fa5
Patrol;5;29-Mar-23;9:10:36 AM;9708962166666660,00;20562033333333300,00;Apr 15, 2023, 10:52:51 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;29-Mar-23;;;;;;;;;;;;CM: Green turtle;;;;2fdac779ffbe4d7ebd57948bdd592cd1
Patrol;4;29-Mar-23;9:08:10 AM;9708921333333330,00;20566766666666600,00;Apr 15, 2023, 10:52:51 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;29-Mar-23;;;;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;;d340d7016ad14b11b08433cf98403fc0
Patrol;3;29-Mar-23;9:05:40 AM;9708906499999990,00;20569166666666600,00;Apr 15, 2023, 10:52:51 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;29-Mar-23;;;;;G: dune in grass;A: above high tide;;;;;Yes;CM: Green turtle;;;;c1bd66ecfb034ed5abc120e7cb163927
Patrol;2;29-Mar-23;8:57:52 AM;9708775666666660,00;2058451666666660,00;Apr 15, 2023, 10:52:51 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;29-Mar-23;;;80.0;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;31.0;4fc483a5bb5d4275a1d71acf8663ef46
Patrol;4;28-Mar-23;10:19:16 PM;9708911166666660,00;205697,00;Apr 15, 2023, 10:52:34 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;100.0;95.0;;;28-Mar-23;;;;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;;bb8406d4677f45a7bae1a3654eb14ddb
Patrol;3;28-Mar-23;10:14:08 PM;97089595,00;20564400000000000,00;Apr 15, 2023, 10:52:34 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;96.0;92.0;;;28-Mar-23;;;;;T: beneath tree, shrub, forest;BL: below tidal line;;;;;;CM: Green turtle;;;;196c002911954b019f0538fc5bae2795
Patrol;2;28-Mar-23;9:46:53 PM;97090835,00;20535283333333300,00;Apr 15, 2023, 10:52:34 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-A: false crawl with nesting attempt;Amandangan;;115.0;105.0;;;28-Mar-23;;;;;B: beach (between high tide and slope);BL: below tidal line;;DA: Damage;Peyu kami temukan karapas bagian belakang retak/pecah,;;;CM: Green turtle;;;;9aec4b22b7f745feafdd613c563e21a4
